[key][2017-04-01 11:19:22:292]LuaManager初始化好了
[key][2017-04-01 11:19:22:317]GameMode:0
[key][2017-04-01 11:19:22:326]GameManager初始化好了，游戏正式开始。
[key][2017-04-01 11:50:06:462]LuaManager初始化好了
[key][2017-04-01 11:50:06:492]GameMode:0
[key][2017-04-01 11:50:06:501]GameManager初始化好了，游戏正式开始。
[key][2017-04-01 11:51:25:049]LuaManager初始化好了
[key][2017-04-01 11:51:25:078]GameMode:0
[key][2017-04-01 11:51:25:088]GameManager初始化好了，游戏正式开始。
[info][2017-04-01 11:51:27:196]ConnectToServer
[info][2017-04-01 11:51:27:222]Time: 27 ip:42.62.22.60 port:8001
[info][2017-04-01 11:51:27:311]ConnectSuccess
[info][2017-04-01 11:51:27:424]Receive MSG: NetworkMsg  CMD_LOGIN

[info][2017-04-01 11:51:27:435]Receive MSG: NetworkMsg  CMD_ROLE

[info][2017-04-01 11:51:27:482]Receive MSG: NetworkMsg  CMD_ENTERROOM

[info][2017-04-01 11:51:27:489]Receive MSG: NetworkMsg  CMD_ENTERROOM

[info][2017-04-01 11:51:27:494]Receive MSG: NetworkMsg  MSG_FRIEND_ARRAY

[info][2017-04-01 11:51:30:096]Receive MSG: NetworkMsg  CMD_MAP_MATCH

[info][2017-04-01 11:51:38:517]Receive MSG: NetworkMsg  CMD_MAP_MATCH

[info][2017-04-01 11:51:41:740]Receive MSG: NetworkMsg  CMD_MAP_MATCH

[info][2017-04-01 11:51:44:601]Receive MSG: NetworkMsg  CMD_SITDOWN

[info][2017-04-01 11:51:45:182]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:51:46:502]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:51:47:044]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:51:49:001]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:51:52:247]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:51:53:900]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:51:58:100]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:51:59:187]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:51:59:474]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:51:59:480]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:51:59:485]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:51:59:490]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:51:59:522]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:51:59:544]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:51:59:643]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:51:59:683]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:51:59:870]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:51:59:901]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:01:287]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:06:459]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:06:533]CharacterStateType.ATTACK
[info][2017-04-01 11:52:07:269]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:07:331]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:07:412]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:07:937]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:09:442]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:09:916]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:12:019]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:12:998]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:13:069]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:13:135]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:13:159]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:13:182]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:13:716]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:18:557]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:18:579]CharacterStateType.ATTACK
[info][2017-04-01 11:52:18:691]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:18:751]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:18:761]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:19:838]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:28:098]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:29:181]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:29:228]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:29:245]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:29:321]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:29:339]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:29:837]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:32:035]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:39:305]Receive MSG: NetworkMsg  CMD_MAP_MATCH

[info][2017-04-01 11:52:39:313]Receive MSG: NetworkMsg  CMD_SITDOWN

[info][2017-04-01 11:52:40:038]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:41:077]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:42:138]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:43:338]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:46:921]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:48:190]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:52:478]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:53:020]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:53:168]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:53:178]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:53:188]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:53:258]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:53:363]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:53:369]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:53:399]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:53:437]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:53:676]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:53:756]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:54:797]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:58:300]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:59:216]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:59:246]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:59:370]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:59:383]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:59:394]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:52:59:916]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:53:05:675]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:53:05:705]CharacterStateType.ATTACK
[info][2017-04-01 11:53:06:939]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:53:07:109]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:53:07:134]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:53:08:216]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:53:13:102]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:53:17:996]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:53:38:117]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:53:57:717]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:17:837]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:20:379]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:22:001]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:34:119]Receive MSG: NetworkMsg  CMD_MAP_MATCH

[info][2017-04-01 11:54:34:129]Receive MSG: NetworkMsg  CMD_SITDOWN

[info][2017-04-01 11:54:34:761]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:36:155]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:36:696]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:37:779]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:40:618]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:44:999]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:48:144]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:48:678]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:48:783]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:48:790]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:48:825]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:48:841]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:49:099]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:49:117]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

