[key][2017-04-05 00:29:28:825]LuaManager初始化好了
[key][2017-04-05 00:29:28:928]GameMode:0
[key][2017-04-05 00:29:28:956]GameManager初始化好了，游戏正式开始。
[info][2017-04-05 00:29:35:228]ConnectToServer
[info][2017-04-05 00:29:35:284]Time: 35 ip:42.62.22.60 port:8001
[info][2017-04-05 00:29:35:491]ConnectSuccess
[info][2017-04-05 00:29:35:757]Receive MSG: NetworkMsg  CMD_LOGIN

[info][2017-04-05 00:29:35:836]Receive MSG: NetworkMsg  CMD_ROLE

[info][2017-04-05 00:29:36:063]Receive MSG: NetworkMsg  CMD_ENTERROOM

[info][2017-04-05 00:29:36:085]Receive MSG: NetworkMsg  CMD_ENTERROOM

[info][2017-04-05 00:29:36:106]Receive MSG: NetworkMsg  MSG_FRIEND_ARRAY

[info][2017-04-05 00:29:38:436]Receive MSG: NetworkMsg  CMD_MAP_MATCH

[info][2017-04-05 00:29:39:883]Receive MSG: NetworkMsg  CMD_SITDOWN

[info][2017-04-05 00:29:41:302]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:29:41:606]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:29:43:004]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:29:43:019]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:29:43:553]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:29:44:917]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:29:45:557]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:29:45:888]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:29:47:649]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:29:47:921]Transform child out of bounds
[info][2017-04-05 00:29:47:931]  at (wrapper managed-to-native) UnityEngine.Transform:GetChild (int)
  at LuaFramework.LuaHelper.CreatePrefab (UnityEngine.Transform parent, System.String path, System.String name) [0x00069] in F:\123\CrazyTank\client\Assets\LuaFramework\Script\misc\LuaHelper.cs:927 
[info][2017-04-05 00:29:49:154]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:29:49:171]Transform child out of bounds
[info][2017-04-05 00:29:49:191]  at (wrapper managed-to-native) UnityEngine.Transform:GetChild (int)
  at LuaFramework.LuaHelper.CreatePrefab (UnityEngine.Transform parent, System.String path, System.String name) [0x00069] in F:\123\CrazyTank\client\Assets\LuaFramework\Script\misc\LuaHelper.cs:927 
[info][2017-04-05 00:29:50:719]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:03:079]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:05:055]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:05:597]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

